Product,Star,Price
"Redmi 8 (Onyx Black, 64 GB)",4.4,"Rs. 7,999"
"Redmi 8 (Sapphire Blue, 64 GB)",4.4,"Rs. 7,999"
"Realme 5s (Crystal Blue, 128 GB)",4.4,"Rs. 10,999"
"Redmi Note 5 Pro (Black, 64 GB)",4.5,"Rs. 9,699"
"Realme 3i (Diamond Blue, 64 GB)",4.4,"Rs. 9,999"
"Realme 3i (Diamond Red, 64 GB)",4.4,"Rs. 9,999"
"Realme 3i (Diamond Black, 32 GB)",4.4,"Rs. 7,999"
"Realme 3i (Diamond Black, 64 GB)",4.4,"Rs. 9,999"
"Realme 3i (Diamond Blue, 32 GB)",4.4,"Rs. 7,999"
"Realme C2 (Diamond Sapphire, 32 GB)",4.3,"Rs. 7,499"
"Realme C2 (Diamond Ruby, 32 GB)",4.3,"Rs. 7,499"
"Realme C2 (Diamond Black, 32 GB)",4.4,"Rs. 5,999"
"Realme C2 (Diamond Blue, 32 GB)",4.4,"Rs. 5,999"
"Kult Impulse (Black, 32 GB)",3.9,"Rs. 4,999"
"Realme 2 Pro (Black Sea, 64 GB)",4.5,"Rs. 10,999"
"Realme 2 Pro (Blue Ocean, 64 GB)",4.5,"Rs. 8,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)",4.5,"Rs. 9,999"
"Realme C2 (Diamond Blue, 32 GB)",4.3,"Rs. 7,499"
"Realme 2 Pro (Black Sea, 64 GB)",4.5,"Rs. 8,999"
"Redmi Note 5 Pro (Gold, 64 GB)",4.5,"Rs. 9,199"
"Realme 2 Pro (Ice Lake, 64 GB)",4.5,"Rs. 8,999"
"Redmi 8A (Ocean Blue, 32 GB)",4.4,"Rs. 6,999"
"Redmi 7A (Matte Black, 16 GB)",4.3,"Rs. 4,999"
"Datawind PocketSurfer 3G4 (Black, 4GB)",3,"Rs. 1,499"
